fundingTime,actual_rate,predicted_rate,fold,in_signal_rule,in_signal_ml
2023-09-11 08:00:00+00:00,-6.25e-06,4.822805931326002e-05,1,0.0,0.0
2023-09-11 16:00:00.001000+00:00,-4.991e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-12 00:00:00+00:00,-2.671e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-12 08:00:00+00:00,-1.44e-06,4.822805931326002e-05,1,0.0,0.0
2023-09-12 16:00:00+00:00,2.004e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-13 00:00:00+00:00,-3.26e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-13 08:00:00+00:00,3.87e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-13 16:00:00+00:00,-3.64e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-14 00:00:00+00:00,3.172e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-14 08:00:00.001000+00:00,-5.6e-06,4.822805931326002e-05,1,0.0,0.0
2023-09-14 16:00:00+00:00,7.26e-06,4.822805931326002e-05,1,0.0,0.0
2023-09-15 00:00:00+00:00,-2.473e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-15 08:00:00+00:00,3.877e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-15 16:00:00+00:00,0.0001,4.822805931326002e-05,1,0.0,0.0
2023-09-16 00:00:00+00:00,9.3e-06,4.822805931326002e-05,1,0.0,0.0
2023-09-16 08:00:00+00:00,2.24e-06,4.822805931326002e-05,1,0.0,0.0
2023-09-16 16:00:00+00:00,2.272e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-17 00:00:00+00:00,-9.41e-06,4.822805931326002e-05,1,0.0,0.0
2023-09-17 08:00:00+00:00,4.182e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-17 16:00:00+00:00,6.22e-06,4.822805931326002e-05,1,0.0,0.0
2023-09-18 00:00:00+00:00,1.365e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-18 08:00:00+00:00,2.976e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-18 16:00:00+00:00,-1.298e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-19 00:00:00+00:00,-1.248e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-19 08:00:00.001000+00:00,1.153e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-19 16:00:00+00:00,4.614e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-20 00:00:00+00:00,2.387e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-20 08:00:00+00:00,2.909e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-20 16:00:00+00:00,3.804e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-21 00:00:00.001000+00:00,7.655e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-21 08:00:00+00:00,-6.38e-06,4.822805931326002e-05,1,0.0,0.0
2023-09-21 16:00:00+00:00,2.241e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-22 00:00:00+00:00,2.865e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-22 08:00:00+00:00,3.523e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-22 16:00:00+00:00,2.817e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-23 00:00:00+00:00,2.963e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-23 08:00:00+00:00,2.321e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-23 16:00:00+00:00,2.991e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-24 00:00:00+00:00,-5.58e-06,4.822805931326002e-05,1,0.0,0.0
2023-09-24 08:00:00+00:00,4.671e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-24 16:00:00+00:00,2.857e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-25 00:00:00+00:00,4.305e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-25 08:00:00+00:00,5.13e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-25 16:00:00+00:00,6.471e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-26 00:00:00+00:00,1.558e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-26 08:00:00+00:00,5.673e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-26 16:00:00+00:00,0.0001,4.822805931326002e-05,1,0.0,0.0
2023-09-27 00:00:00+00:00,6.67e-06,4.822805931326002e-05,1,0.0,0.0
2023-09-27 08:00:00.001000+00:00,4.982e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-27 16:00:00+00:00,8.17e-06,4.822805931326002e-05,1,0.0,0.0
2023-09-28 00:00:00+00:00,4.301e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-28 08:00:00+00:00,2.239e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-28 16:00:00+00:00,-3.93e-06,4.822805931326002e-05,1,0.0,0.0
2023-09-29 00:00:00+00:00,4.429e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-29 08:00:00+00:00,1.2e-07,4.822805931326002e-05,1,0.0,0.0
2023-09-29 16:00:00+00:00,9.07e-06,4.822805931326002e-05,1,0.0,0.0
2023-09-30 00:00:00+00:00,-2.413e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-30 08:00:00+00:00,1.168e-05,4.822805931326002e-05,1,0.0,0.0
2023-09-30 16:00:00+00:00,-1.276e-05,4.822805931326002e-05,1,0.0,0.0
2023-10-01 00:00:00+00:00,8.22e-06,4.822805931326002e-05,1,0.0,0.0
2023-10-01 08:00:00+00:00,3.599e-05,4.822805931326002e-05,1,0.0,0.0
2023-10-01 16:00:00+00:00,0.0001,4.822805931326002e-05,1,0.0,0.0
2023-10-02 00:00:00+00:00,6.308e-05,4.822805931326002e-05,1,0.0,0.0
2023-10-02 08:00:00+00:00,6.372e-05,4.822805931326002e-05,1,0.0,0.0
2023-10-02 16:00:00+00:00,3.9e-07,4.822805931326002e-05,1,0.0,0.0
2023-10-03 00:00:00+00:00,1.728e-05,4.822805931326002e-05,1,0.0,0.0
2023-10-03 08:00:00+00:00,7.087e-05,4.822805931326002e-05,1,0.0,0.0
2023-10-03 16:00:00+00:00,4.62e-05,4.822805931326002e-05,1,0.0,0.0
2023-10-04 00:00:00+00:00,7.38e-06,4.822805931326002e-05,1,0.0,0.0
2023-10-04 08:00:00+00:00,2.618e-05,4.822805931326002e-05,1,0.0,0.0
2023-10-04 16:00:00+00:00,2.065e-05,4.822805931326002e-05,1,0.0,0.0
2023-10-05 00:00:00+00:00,2.685e-05,4.822805931326002e-05,1,0.0,0.0
2023-10-05 08:00:00+00:00,2.072e-05,4.822805931326002e-05,1,0.0,0.0
2023-10-05 16:00:00.001000+00:00,0.0001,4.822805931326002e-05,1,0.0,0.0
2023-10-06 00:00:00+00:00,8.473e-05,4.822805931326002e-05,1,0.0,0.0
2023-10-06 08:00:00+00:00,5.905e-05,4.822805931326002e-05,1,0.0,0.0
2023-10-06 16:00:00+00:00,8.468e-05,4.822805931326002e-05,1,0.0,0.0
2023-10-07 00:00:00+00:00,3.736e-05,4.822805931326002e-05,1,0.0,0.0
2023-10-07 08:00:00+00:00,3.615e-05,4.822805931326002e-05,1,0.0,0.0
2023-10-07 16:00:00+00:00,9.048e-05,4.822805931326002e-05,1,0.0,0.0
2023-10-08 00:00:00+00:00,9.246e-05,4.822805931326002e-05,1,0.0,0.0
2023-10-08 08:00:00.001000+00:00,9.791e-05,4.822805931326002e-05,1,0.0,0.0
2023-10-08 16:00:00+00:00,0.0001,4.822805931326002e-05,1,0.0,0.0
2023-10-09 00:00:00+00:00,6.572e-05,4.822805931326002e-05,1,0.0,0.0
2023-10-09 08:00:00+00:00,3.935e-05,4.822805931326002e-05,1,0.0,0.0
2023-10-09 16:00:00+00:00,6.268e-05,4.822805931326002e-05,1,0.0,0.0
2023-10-10 00:00:00+00:00,8.857e-05,4.822805931326002e-05,1,0.0,0.0
2023-10-10 08:00:00+00:00,5.511e-05,4.822805931326002e-05,1,0.0,0.0
